trial_id,group,a_w,delta_um,S,r_break_um
agar.2,agar,1.0,77.8,1.2370770819203503,1900.0
agar.3,agar,1.0,92.4,1.2139133740737822,1700.0
agar.4,agar,1.0,163.5,1.0777035358675882,2700.0
agar.5,agar,1.0,100.1,1.201029405131367,2700.0
agar.6,agar,1.0,101.6,1.158912678750561,2100.0
1to1.1,1:1,0.87,420.5,1.4193070730375503,1700.0
1to1.2,1:1,0.87,286.6,1.3366984655305065,1300.0
1to1.3,1:1,0.87,420.1,1.30362461601465,1900.0
1to1.4,1:1,0.87,363.7,1.1955364151866634,2700.0
1to1.5,1:1,0.87,462.7,1.438054469686812,1500.0
2to1.1,2:1,0.75,681.1,1.4006422859849503,1700.0
2to1.2,2:1,0.75,803.2,1.487657352007287,1500.0
2to1.3,2:1,0.75,933.4,1.322111653183733,1900.0
2to1.4,2:1,0.75,872.9,1.4351422106602219,1700.0
2to1.6,2:1,0.75,1005.4,1.3937293655272858,1700.0
Green.1,Green,,279.5,1.2748247578593288,900.0
Green.3,Green,,316.0,1.297689460675692,700.0
Green.3_new,Green,,297.8,1.2506933868757963,900.0
Green.4,Green,,285.6,1.1679321556974278,900.0
Green.5,Green,,311.7,1.3504156076588851,900.0
white.1,White,,198.5,1.2999916647003114,1100.0
white.3,White,,126.2,1.4141915424037375,1100.0
white.4,White,,120.0,1.2825491265991709,1300.0
white.5,White,,131.6,1.2555245607598249,1900.0
white.6,White,,123.0,1.2637980926059262,900.0
Black.2,Black,,125.4,1.229019981230449,700.0
black.3,Black,,98.0,1.3162684308513413,700.0
black.4,Black,,111.7,1.27750672093492,500.0
black.new,Black,,135.7,1.229998024581046,700.0
black.new2,Black,,78.3,1.2868591113738868,750.0
