trial_id,group,system,a_w,n_droplets,delta_um,max_slope,alpha,y_near,y_far,r0_um,transition_width_um,S,r_break_um,zone_metric,dR_dr_um_per_mm,pearson_r,pearson_p,dtau50_dr,dtau50_dr_sizematched
agar.2,Agar,Hydrogel,1.0,2663,77.8,0.019651819677562,0.0008663615946121,13.06320673569616,58.42952906525104,,2308.5049157739327,1.2370770819203505,1900.0,0.44793126731203486,,,,0.10119047619047626,-0.041836273179556786
agar.3,Agar,Hydrogel,1.0,3185,92.4,0.0180448591444377,0.0009763793430743,15.3806168540159,52.34342085521426,50.00000000250712,2048.384179966959,1.2139133740737822,1700.0,0.4066172478258208,,,,-0.0036764705882352854,-0.0931372549019607
agar.4,Agar,Hydrogel,1.0,2088,163.5,0.0110500333910048,0.0023675141774838,52.51408069963408,61.84879429594161,1676.0359575076593,844.7679084758539,1.0777035358675882,2700.0,0.1440094571725997,,,,-0.08928571428571445,-0.23601398601398604
agar.5,Agar,Hydrogel,1.0,4358,100.1,0.0058765445260038,0.0012237089597053,37.12282464328739,46.72730531558551,1630.8781502035265,1634.3755466836226,1.201029405131367,2700.0,0.21419434937334256,,,,0.010212418300653609,-0.2205882352941177
agar.6,Agar,Hydrogel,1.0,2576,101.6,0.0103421282838834,0.0019950617397301,44.876495312556706,55.244222864970666,1151.13467664704,1002.4752418291296,1.158912678750561,2100.0,0.28522421466317427,,,,-0.07142857142857152,-0.24686716791979985
1to1.1,1:1,Hydrogel,0.87,2507,420.5,0.0389635174097643,0.0013307924672791,6.2031264144835,64.7599913919767,621.1833613537567,1502.8639319616132,1.4193070730375503,1700.0,0.7160949375417768,,,,1.0845588235294117,1.318361126053434
1to1.2,1:1,Hydrogel,0.87,5105,286.6,0.0288721432903519,0.0017321260218186,5.12972430129894,38.466956034632446,368.5739651788247,1154.6503977234554,1.3366984655305063,1300.0,0.5480249801160995,,,,0.8809523809523812,0.6373626373626375
1to1.3,1:1,Hydrogel,0.87,4207,420.1,0.0212665411826555,0.0011154899410799,6.412182905232222,44.5416906658606,488.1869887870291,1792.9341416236423,1.30362461601465,1900.0,0.5451004506454667,,,,1.2916666666666667,0.879120879120879
1to1.4,1:1,Hydrogel,0.87,4646,363.7,0.0084637992293114,0.0005768460701336,14.144356220013714,43.48944381799224,,3467.1294536798314,1.1955364151866634,2700.0,0.41383506145388516,,,,0.904761904761905,0.5695970695970696
1to1.5,1:1,Hydrogel,0.87,4377,462.7,0.027240754844811,0.0014072352631268,4.859647263390643,43.57492900566602,637.6609362289965,1421.2264661105785,1.438054469686812,1500.0,0.6916640653992212,,,,0.8601190476190478,0.8113553113553114
